"","bb","ll","ul"
"0.jobchange@2016.year#0.cshcn_ind","92.9","91.8","93.8"
"0.jobchange@2016.year#1.cshcn_ind","82.5","77.9","86.3"
"0.jobchange@2017.year#0.cshcn_ind","92.2","90.4","93.6"
"0.jobchange@2017.year#1.cshcn_ind","79.9","73.4","85.2"
"0.jobchange@2018.year#0.cshcn_ind","91.9","90.5","93.1"
"0.jobchange@2018.year#1.cshcn_ind","84.2","79.9","87.7"
"0.jobchange@2019.year#0.cshcn_ind","91.6","90.0","93.0"
"0.jobchange@2019.year#1.cshcn_ind","82.3","76.7","86.7"
"0.jobchange@2020.year#0.cshcn_ind","88.9","87.4","90.3"
"0.jobchange@2020.year#1.cshcn_ind","75.2","68.7","80.7"
"1.jobchange@2016.year#0.cshcn_ind","7.1","6.2","8.2"
"1.jobchange@2016.year#1.cshcn_ind","17.5","13.7","22.1"
"1.jobchange@2017.year#0.cshcn_ind","7.8","6.4","9.6"
"1.jobchange@2017.year#1.cshcn_ind","20.1","14.8","26.6"
"1.jobchange@2018.year#0.cshcn_ind","8.1","6.9","9.5"
"1.jobchange@2018.year#1.cshcn_ind","15.8","12.3","20.1"
"1.jobchange@2019.year#0.cshcn_ind","8.4","7.0","10.0"
"1.jobchange@2019.year#1.cshcn_ind","17.7","13.3","23.3"
"1.jobchange@2020.year#0.cshcn_ind","11.1","9.7","12.6"
"1.jobchange@2020.year#1.cshcn_ind","24.8","19.3","31.3"
