"","b","ci95"
"0.jobchange@2016.year",".9173685",".9074156,.9273215"
"0.jobchange@2017.year",".9094181",".8938753,.9249609"
"0.jobchange@2018.year",".9106147",".8984247,.9228048"
"0.jobchange@2019.year",".9062308",".8920224,.9204391"
"0.jobchange@2020.year",".8743216",".8598129,.8888304"
"1.jobchange@2016.year",".0826315",".0726785,.0925844"
"1.jobchange@2017.year",".0905819",".0750391,.1061247"
"1.jobchange@2018.year",".0893853",".0771952,.1015753"
"1.jobchange@2019.year",".0937692",".0795609,.1079776"
"1.jobchange@2020.year",".1256784",".1111696,.1401871"
