"","b","ci95"
"jobchange","",""
"0.year16","1.000",".,."
"1.year16","1.211","0.933,1.572"
"0.year17","1.000",".,."
"1.year17","0.982","0.761,1.266"
"0.year18","1.000",".,."
"1.year18","0.992","0.793,1.241"
"0.year19placeholder","1.000",".,."
"0.year20","1.000",".,."
"1.year20","1.412","1.131,1.763"
"0.cshcn_ind","1.000",".,."
"1.cshcn_ind","2.726","2.245,3.309"
"0.cshcn_ind#0.year20","1.000",".,."
"0.cshcn_ind#1.year20","1.000",".,."
"1.cshcn_ind#0.year20","1.000",".,."
"1.cshcn_ind#1.year20","1.061","0.706,1.595"
"0.sc_age_years","2.431","1.880,3.143"
"1.sc_age_years","1.842","1.445,2.348"
"2.sc_age_years","1.457","1.135,1.871"
"3.sc_age_years","1.226","0.959,1.568"
"4.sc_age_years","1.126","0.865,1.467"
"5.sc_age_years","1.000",".,."
"1.race_cat","1.000",".,."
"2.race_cat","1.532","1.220,1.923"
"4.race_cat","1.560","1.109,2.196"
"6.race_cat","1.151","0.759,1.746"
"7.race_cat","1.610","1.299,1.994"
"1.sc_hispanic_r","1.143","0.936,1.397"
"2.sc_hispanic_r","1.000",".,."
"1.family_stru","1.000",".,."
"2.family_stru","1.853","1.459,2.354"
"3.family_stru","1.257","1.009,1.565"
"4.family_stru","0.769","0.563,1.052"
"1.a1_sex","0.747","0.627,0.891"
"2.a1_sex","1.000",".,."
"1.higrade_tvis","0.706","0.474,1.051"
"2.higrade_tvis","1.028","0.824,1.283"
"3.higrade_tvis","1.082","0.907,1.290"
"4.higrade_tvis","1.000",".,."
"1.totyoung","1.000",".,."
"2.totyoung","0.924","0.792,1.078"
"3.totyoung","0.850","0.632,1.143"
"1.povcat_i","1.692","1.225,2.338"
"2.povcat_i","1.466","1.098,1.957"
"3.povcat_i","1.432","1.149,1.785"
"4.povcat_i","1.000",".,."
"N","173023",""
